"","shortnam","africa","lat_abst","avexpr","logpgp95","other","asia","loghjypl","baseco"
"144","TJK",0,0.433333337306976,NA,6.8875527381897,0,1,NA,NA
"145","TKM",0,0.444444447755814,NA,7.64012336730957,0,1,NA,NA
"146","TTO",0,0.122222222387791,7.45454549789429,8.76873016357422,0,0,-0.697155237197876,1
"147","TUN",1,0.37777778506279,6.45454549789429,8.4826021194458,0,0,-1.52785789966583,1
"148","TUR",0,0.433333337306976,7.45454549789429,8.64117908477783,0,1,-1.52326023578644,NA
"149","TWN",0,NA,9.22727298736572,NA,0,1,-0.809680998325348,NA
"150","TZA",1,0.0666666701436043,6.63636350631714,6.25382900238037,0,0,-3.44201922416687,1
"151","UGA",1,0.0111111113801599,4.45454549789429,6.96602439880371,0,0,-3.44201922416687,1
"152","UKR",0,0.544444441795349,NA,7.81197357177734,0,0,NA,NA
"153","URY",0,0.366666674613953,7,9.03121376037598,0,0,-1.07880961894989,1
"154","USA",0,0.422222226858139,10,10.2157402038574,0,0,0,1
"155","UZB",0,0.455555558204651,NA,7.80791664123535,0,1,NA,NA
"156","VEN",0,0.0888888910412788,7.13636350631714,9.07107830047607,0,0,-0.703197479248047,1
"157","VNM",0,0.177777782082558,6.40909099578857,7.27931880950928,0,1,NA,1
"158","YEM",0,0.16666667163372,6.36363649368286,6.64639043807983,0,1,-1.55116903781891,NA
"159","YUG",0,0.488888889551163,6.31818199157715,NA,0,0,-1.20397281646729,NA
"160","ZAF",1,0.322222232818604,6.86363649368286,8.88599395751953,0,0,-1.3862943649292,1
"161","ZAR",1,0,3.5,6.86693334579468,0,0,-3.41124773025513,1
"162","ZMB",1,0.16666667163372,6.63636350631714,6.8134446144104,0,0,-2.97592973709106,NA
"163","ZWE",1,0.222222223877907,6,7.69621276855469,0,0,-2.73336815834045,NA
