"","shortnam","euro1900","avexpr","logpgp95","cons1","democ00a","cons00a","extmort4","logem4","loghjypl","baseco"
"63","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","",0,NA,NA,5,0,1,483,6.18001651763916,NA,NA
"68","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","",NA,9.1363639831543,NA,NA,NA,NA,NA,NA,NA,NA
"73","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","",NA,4.43181800842285,NA,NA,NA,NA,NA,NA,NA,NA
"80","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","",NA,5.09090900421143,NA,NA,NA,NA,NA,NA,NA,NA
"88","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","",NA,2.63636374473572,NA,NA,NA,NA,NA,NA,NA,NA
"97","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","",NA,6.95454549789429,NA,NA,NA,NA,NA,NA,NA,NA
"119","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","ABW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","ADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","AFG",0,NA,NA,1,1,1,93.6999969482422,4.54009819030762,NA,NA
"125","AGO",8,5.36363649368286,7.77064514160156,3,0,1,280,5.63478946685791,-3.41124773025513,1
"126","AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","AL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","ALB",NA,NA,7.65917158126831,NA,NA,NA,NA,NA,NA,NA
"129","ANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","ARE",0,7.18181800842285,9.80421924591064,NA,NA,NA,NA,NA,NA,NA
"131","ARG",60.0000038146973,6.38636350631714,9.13345909118652,1,3,3,68.9000015258789,4.23265600204468,-0.872273802757263,1
"132","ARM",0,NA,7.68248224258423,NA,NA,NA,NA,NA,NA,NA
"133","ASM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","ATG",NA,NA,9.10830783843994,NA,NA,NA,NA,NA,NA,NA
"135","AUS",98,9.31818199157715,9.89797210693359,7,10,7,8.55000019073486,2.14593124389648,-0.170788332819939,1
"136","AUT",100,9.72727298736572,9.97487735748291,NA,NA,NA,NA,NA,-0.343899756669998,NA
"137","AZE",0,NA,7.30653142929077,NA,NA,NA,NA,NA,NA,NA
"138","BDI",0,NA,6.56526517868042,5,0,1,280,5.63478946685791,-3.50655794143677,NA
"139","BEL",100,9.68181800842285,9.99287128448486,NA,NA,NA,NA,NA,-0.179126635193825,NA
"140","BEN",0,NA,7.09007692337036,3,0,1,266.519989013672,5.58544921875,-2.83021783828735,NA
"141","BFA",0,4.45454549789429,6.84588003158569,3,0,1,280,5.63478946685791,-3.54045939445496,1
"142","BGD",0,5.13636350631714,6.87729597091675,7,0,1,71.4100036621094,4.26843786239624,-2.06356811523438,1
"143","BGR",100,8.90909099578857,8.45744323730469,NA,NA,NA,NA,NA,NA,NA
"144","BHR",0,8,9.68595314025879,NA,NA,NA,NA,NA,NA,NA
"145","BHS",10,7.5,9.28544807434082,NA,NA,NA,85,4.44265127182007,NA,1
"146","BIH",100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","BLR",100,NA,8.34045600891113,NA,NA,NA,NA,NA,NA,NA
"148","BLZ",20,NA,8.37793159484863,NA,NA,1,163.300003051758,5.09558916091919,NA,NA
"149","BMU",NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"150","BOL",30.0000019073486,5.63636350631714,7.92660236358643,3,4,3,71,4.26268005371094,-1.96611285209656,1
"151","BRA",40,7.90909099578857,8.72745418548584,1,1,3,71,4.26268005371094,-1.14256417751312,1
"152","BRB",20,NA,9.26672077178955,NA,NA,1,85,4.44265127182007,-0.906340360641479,NA
"153","BRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","BTN",0,NA,NA,1,0,1,NA,NA,NA,NA
"155","BUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","BWA",0,7.72727251052856,8.85509300231934,7,0,1,NA,NA,-2.36446046829224,NA
"157","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","CAF",0,NA,7.19293403625488,1,0,1,280,5.63478946685791,-3.41124773025513,NA
"159","CAN",99,9.72727298736572,9.98644924163818,7,9,7,16.1000003814697,2.77881932258606,-0.0608121566474438,1
"160","CHE",100,10,10.120210647583,NA,NA,NA,NA,NA,-0.134674891829491,NA
"161","CHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","CHL",50,7.81818199157715,9.33609199523926,1,5,7,68.9000015258789,4.23265600204468,-1.33560121059418,1
"163","CHN",0,7.77272748947144,7.88608121871948,NA,NA,NA,118,4.77068471908569,-2.81341075897217,NA
"164","CIV",0,7,7.44424867630005,1,0,1,668,6.50428819656372,-2.3330442905426,1
"165","CMR",0,6.45454549789429,7.50108194351196,3,0,1,280,5.63478946685791,-2.57702207565308,1
"166","COG",0,4.68181800842285,7.420578956604,4,0,1,240,5.48063898086548,-2.10373425483704,1
"167","COL",20,7.31818199157715,8.80986309051514,3,3,5,71,4.26268005371094,-1.33180618286133,1
"168","COM",5,NA,7.38398933410645,5,0,1,NA,NA,-3.35240721702576,NA
"169","CPR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","CPV",5,NA,7.97933912277222,NA,NA,NA,NA,NA,-2.57702207565308,NA
"171","CRI",20,7.04545450210571,8.79482460021973,3,10,7,78.0999984741211,4.35799026489258,-1.35867917537689,1
"172","CT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","CUB",NA,NA,NA,3,NA,3,NA,NA,NA,NA
"174","CYM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","CYP",NA,NA,NA,NA,NA,NA,NA,NA,-0.807436287403107,NA
"176","CZE",100,8.8636360168457,9.20432186126709,NA,NA,NA,NA,NA,-1.55589711666107,NA
"177","DDR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","DEU",100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","DEU",100,NA,9.93547058105469,NA,NA,NA,NA,NA,-0.200892925262451,NA
"182","DJI",0,NA,NA,NA,NA,NA,26,3.25809645652771,NA,NA
"183","DMA",10,NA,8.33086395263672,NA,NA,NA,85,NA,NA,NA
"184","DNK",100,9.72727298736572,10.0055923461914,NA,NA,NA,NA,NA,-0.371063679456711,NA
"185","DOM",25,6.18181800842285,8.36404228210449,3,1,3,130,4.86753463745117,-1.57987916469574,1
"186","DZA",13,6.5,8.38935947418213,2,0,1,78.1999969482422,4.35926961898804,-1.11474168300629,1
"187","ECU",30.0000019073486,6.54545450210571,8.47010135650635,3,1,3,71,4.26268005371094,-1.43969511985779,1
"188","EGY",0,6.77272748947144,7.95155954360962,1,7,7,67.8000030517578,4.21656227111816,-1.67664659023285,1
"189","ERI",0,NA,6.62007331848145,NA,NA,NA,NA,NA,NA,NA
"190","ESP",100,9.68181800842285,9.61846828460693,NA,NA,NA,NA,NA,-0.382725656032562,NA
"191","EST",100,NA,8.39389514923096,NA,NA,NA,NA,NA,NA,NA
"192","ETH",0,5.72727251052856,6.10924768447876,1,5,7,26,3.25809645652771,NA,1
"193","FIN",100,9.72727298736572,9.82606601715088,NA,NA,NA,NA,NA,-0.309246212244034,NA
"194","FJI",NA,NA,8.30152130126953,7,0,1,11.3999996185303,2.43361330032349,-1.29828345775604,NA
"195","FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","FRA",100,9.72727298736572,9.96364116668701,NA,NA,NA,2.88000011444092,1.05779027938843,-0.200892925262451,NA
"197","FRO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","FSM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","GA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","GAB",0,7.81818199157715,8.90788269042969,2,0,1,280,5.63478946685791,-1.85150945186615,1
"201","GBR",100,9.77272701263428,9.87817001342773,NA,NA,NA,2.54999995231628,0.936093330383301,-0.318828791379929,NA
"202","GEO",100,NA,7.37148952484131,NA,NA,NA,NA,NA,NA,NA
"203","GHA",0,6.27272748947144,7.36518001556396,1,0,1,668,6.50428819656372,-2.95651149749756,1
"204","GIN",0,6.54545450210571,7.48997068405151,1,0,1,483,6.18001651763916,-3.14655518531799,1
"205","GLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","GMB",0,8.27272701263428,7.27239847183228,7,0,1,1470,7.29301786422729,-3.03655433654785,1
"207","GNB",0,4.54545450210571,NA,3,0,1,164.660003662109,5.10388278961182,-3.24419355392456,NA
"208","GNQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","GRC",100,7.81818199157715,9.39764976501465,NA,NA,NA,NA,NA,-0.757152497768402,NA
"210","GRD",10,NA,8.41847705841064,NA,NA,NA,85,NA,NA,NA
"211","GRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","GTM",20,5.13636350631714,8.29404926300049,1,0,1,71,4.26268005371094,-1.56064772605896,1
"213","GUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","GUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","GUY",2,5.88636350631714,7.90470409393311,7,0,1,32.1800003051758,3.47134518623352,-2.25379490852356,1
"216","HKG",4,8.1363639831543,10.049750328064,NA,NA,NA,14.8999996185303,2.70136117935181,-0.49758043885231,1
"217","HND",20,5.31818199157715,7.68708038330078,3,6,5,78.0999984741211,4.35799026489258,-2.04022097587585,1
"218","HRV",100,NA,8.41847705841064,NA,NA,NA,NA,NA,NA,NA
"219","HTI",0,3.72727274894714,7.14677238464355,1,0,1,130,4.86753463745117,-2.8647038936615,1
"220","HUN",100,9,8.80986309051514,NA,NA,NA,NA,NA,-1.18090748786926,NA
"221","IA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","IDN",0,7.59090900421143,8.0709056854248,1,0,1,170,5.13579845428467,-2.20727491378784,1
"223","IL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","IMY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","IND",0,8.27272701263428,7.32600021362305,7,0,1,48.6300010681152,3.88424062728882,-2.45340800285339,1
"227","IRL",NA,9.72727298736572,9.76938438415527,NA,NA,NA,NA,NA,-0.549912989139557,NA
"228","IRN",0,4.77272748947144,8.60520362854004,NA,NA,NA,NA,NA,-1.22078001499176,NA
"229","IRQ",0,1.63636362552643,NA,NA,NA,NA,NA,NA,NA,NA
"230","ISL",100,9.72727298736572,9.94366931915283,NA,NA,NA,NA,NA,-0.314710706472397,NA
"231","ISR",0,8.54545497894287,9.78414058685303,NA,NA,NA,NA,NA,-0.417031764984131,NA
"232","ITA",100,9.45454502105713,9.89797210693359,NA,NA,NA,NA,NA,-0.181521892547607,NA
"233","JAM",1.89999997615814,7.09090900421143,8.18868923187256,7,0,1,130,4.86753463745117,-2.04022097587585,1
"234","JAP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","JOR",0,6.77272748947144,8.17188167572021,NA,NA,NA,NA,NA,-0.877070009708405,NA
"236","JPN",0,9.72727298736572,10.0340766906738,NA,NA,NA,NA,NA,-0.532730460166931,NA
"237","KAZ",NA,NA,8.13153076171875,NA,NA,NA,NA,NA,NA,NA
"238","KEN",0,6.04545450210571,7.05617523193359,5,0,1,145,4.97673368453979,-2.88240361213684,1
"239","KGZ",NA,NA,7.57558488845825,NA,NA,NA,NA,NA,NA,NA
"240","KHM",NA,NA,7.1228666305542,NA,NA,NA,NA,NA,NA,NA
"241","KIR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","KNA",10,NA,8.89013481140137,NA,NA,NA,85,NA,NA,NA
"243","KOR",0,8.6363639831543,9.41572761535645,NA,NA,NA,118,4.77068471908569,-0.967584013938904,NA
"244","KWT",0,7.04545450210571,9.80366706848145,NA,NA,NA,NA,NA,NA,NA
"245","KY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","LAO",0,NA,7.09007692337036,5,0,1,140,4.94164228439331,NA,NA
"248","LBN",NA,NA,8.63763904571533,NA,NA,NA,NA,NA,NA,NA
"249","LBR",0,3.63636374473572,NA,7,1,4,483,6.18001651763916,NA,NA
"250","LBY",0,5.27272748947144,NA,3,0,1,NA,NA,NA,NA
"251","LCA",10,NA,8.55833530426025,NA,NA,NA,85,NA,NA,NA
"252","LIE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","LKA",0,6.04545450210571,7.73193073272705,7,0,1,69.8000030517578,4.24563407897949,-1.86433017253876,1
"254","LSO",0,NA,7.30653142929077,7,0,1,NA,NA,-2.76462054252625,NA
"255","LTU",100,NA,8.2374792098999,NA,NA,NA,NA,NA,NA,NA
"256","LUX",100,10,10.2887496948242,NA,NA,NA,NA,NA,-0.0140989227220416,NA
"257","LVA",100,NA,8.15478801727295,NA,NA,NA,NA,NA,NA,NA
"258","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","MAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","MAR",1,7.09090900421143,8.04237842559814,1,1,1,78.1999969482422,4.35926961898804,-1.67664659023285,1
"261","MCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","MDA",100,NA,7.37775897979736,NA,NA,NA,NA,NA,NA,NA
"264","MDG",0,4.45454549789429,6.8351845741272,4,0,1,536.039978027344,6.28420877456665,-3.1941831111908,1
"265","MDV",NA,NA,8.11671543121338,NA,NA,NA,NA,NA,NA,NA
"266","ME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","MEX",15.0000009536743,7.5,8.94376754760742,3,0,1,71,4.26268005371094,-0.83701753616333,1
"268","MHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","MKD",100,NA,8.06148719787598,NA,NA,NA,NA,NA,NA,NA
"271","MLI",0,4,6.56526517868042,3,0,1,2940,7.98616504669189,-3.35240721702576,1
"272","MLT",NA,7.22727251052856,9.42706298828125,NA,NA,NA,16.2999992370605,2.7911651134491,-0.770028233528137,1
"273","MMR",0,5.77272748947144,NA,7,0,1,34.5999984741211,3.54385352134705,-3.54045939445496,NA
"274","MNG",0,7.36363649368286,7.29979753494263,NA,NA,NA,NA,NA,NA,NA
"275","MNP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","MOZ",2.5,6.5,6.46146821975708,2,0,1,NA,NA,-3.24419355392456,NA
"278","MRT",0,NA,7.41457271575928,5,0,1,280,5.63478946685791,-2.99573230743408,NA
"279","MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","MTQ",20,NA,9.53999996185303,NA,NA,NA,NA,NA,NA,NA
"281","MUS",5,NA,9.05368614196777,7,0,1,30.5,3.41772675514221,-1.33941078186035,NA
"282","MWI",2.70000004768372,6.81818199157715,6.46146821975708,1,0,1,NA,NA,-3.50655794143677,NA
"283","MYS",0,7.95454549789429,8.89425849914551,7,0,1,17.7000007629395,2.87356472015381,-1.32050669193268,1
"284","MYT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","NAM",0,NA,8.51519107818604,3,0,1,NA,NA,-1.639897108078,NA
"286","NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","NCL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","NER",0,5,6.73340177536011,3,0,1,400,5.99146461486816,-3.54045939445496,1
"289","NGA",0,5.54545450210571,6.8134446144104,7,0,1,2004,7.60290050506592,-3.03655433654785,1
"290","NH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","NIC",20,5.22727251052856,7.5443320274353,1,1,1,163.300003051758,5.09558916091919,-2.07147336006165,1
"292","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","NLD",100,10,9.89696598052979,NA,NA,NA,NA,NA,-0.215671539306641,NA
"294","NOR",100,9.95454502105713,10.0239334106445,NA,NA,NA,NA,NA,-0.275753498077393,NA
"295","NPL",0,NA,6.9373140335083,1,1,1,NA,NA,NA,NA
"296","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","NZL",93,9.72727298736572,9.75614738464355,7,10,7,8.55000019073486,2.14593124389648,-0.33267942070961,1
"298","OAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","OMN",0,7.13636350631714,9.20833873748779,NA,NA,NA,NA,NA,-0.858021855354309,NA
"301","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","PAK",0,6.04545450210571,7.35244131088257,1,0,1,36.9900016784668,3.61064767837524,-2.05572485923767,1
"303","PAN",20,5.90909099578857,8.83637428283691,3,0,1,163.300003051758,5.09558916091919,-1.50058352947235,1
"304","PER",30.0000019073486,5.77272748947144,8.39615440368652,1,4,3,71,4.26268005371094,-1.43969511985779,1
"305","PHL",1,5.45454549789429,8.09864330291748,3,0,1,NA,NA,-2.07147336006165,NA
"306","PLW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","PNG",0,7.27272748947144,NA,7,0,1,170,5.13579845428467,-2.55104637145996,NA
"308","POL",100,7.68181800842285,8.65521430969238,NA,NA,NA,NA,NA,-1.43548452854156,NA
"309","POR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","PRI",NA,NA,NA,NA,NA,NA,NA,NA,-0.341082811355591,NA
"311","PRK",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","PRT",100,9.18181800842285,9.48948574066162,NA,NA,NA,NA,NA,-1.00512194633484,NA
"313","PRY",25,6.95454549789429,8.20794677734375,1,1,2,78.0999984741211,4.35799026489258,-1.77195680141449,1
"314","PYF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","QAT",0,7.72727251052856,9.68533134460449,NA,NA,NA,NA,NA,NA,NA
"316","REU",NA,NA,NA,NA,NA,NA,NA,NA,-1.44392347335815,NA
"317","RI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","ROM",100,7.27272748947144,8.3870849609375,NA,NA,NA,NA,NA,-2.1803674697876,NA
"319","RUS",100,8.45454502105713,8.40514373779297,NA,NA,NA,NA,NA,-0.874669075012207,NA
"320","RWA",0,NA,6.47697257995605,1,0,1,280,5.63478946685791,-3.14655518531799,NA
"321","SAU",0,7.59090900421143,9.23989963531494,NA,NA,NA,NA,NA,-0.638659000396729,NA
"322","SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","SDN",0,4,7.30653142929077,7,0,1,88.1999969482422,4.47960710525513,-2.70306253433228,1
"324","SEN",0,6,7.40245151519775,3,0,1,164.660003662109,5.10388278961182,-2.63108921051025,1
"325","SGP",4,9.31818199157715,10.1464338302612,7,0,1,17.7000007629395,2.87356472015381,-0.500875294208527,1
"326","SLB",NA,NA,7.79975318908691,NA,NA,NA,NA,NA,NA,NA
"327","SLE",0,5.81818199157715,6.25382900238037,NA,NA,NA,483,6.18001651763916,-2.74887204170227,1
"328","SLV",20,5,7.94803190231323,3,NA,3,78.0999984741211,4.35799026489258,-1.85150945186615,1
"329","SOM",0,3,NA,7,0,1,NA,NA,-3.01593494415283,NA
"330","STP",100,8.40909099578857,NA,NA,NA,NA,NA,NA,NA,NA
"331","SUR",1,4.68181800842285,8.01000022888184,NA,NA,1,32.1800003051758,3.47134518623352,-1.37042093276978,NA
"332","SVK",100,NA,8.85223579406738,NA,NA,NA,NA,NA,NA,NA
"333","SVN",NA,NA,9.30018138885498,NA,NA,NA,NA,NA,NA,NA
"334","SWE",100,9.5,9.86630439758301,NA,NA,NA,NA,NA,-0.239527031779289,NA
