,year,state,sl55,sl65,sl70,sl75,slnone,seatbelt,minage,zerotol,gdl,bac10,bac08,perse,totfat,nghtfat,wkndfat,totfatpvm,nghtfatpvm,wkndfatpvm,statepop,totfatrte,nghtfatrte,wkndfatrte,vehicmiles,unem,perc14_24,sl70plus,sbprim,sbsecon,d80,d81,d82,d83,d84,d85,d86,d87,d88,d89,d90,d91,d92,d93,d94,d95,d96,d97,d98,d99,d00,d01,d02,d03,d04,vehicmilespc
12,1991,1,0,1,0,0,0,0,21,0,0,1,0,0,1116,474,276,2.599999905,1.103999972,0.643000007,4099156,27.22999954,11.56000042,6.729999542,42.92307663,7.199999809,15.39999962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10471.19922
13,1992,1,0,1,0,0,0,2,21,0,0,1,0,0,1031,408,218,2.25,0.889999986,0.476000011,4154014,24.8200016,9.819999695,5.25,45.82221985,7.400000095,15.29999924,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11030.8291
14,1993,1,0,1,0,0,0,2,21,0,0,1,0,0,1044,441,235,2.210000038,0.934000015,0.497000009,4214202,24.77000046,10.46000004,5.580000401,47.23981857,7.599999905,15.19999981,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11209.6709
15,1994,1,0,1,0,0,0,2,21,0,0,1,0,0,1083,451,267,2.210000038,0.920000017,0.545000017,4260229,25.42000008,10.59000015,6.269999504,49.00452042,6,15.09999943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11502.79102
16,1995,1,0,1,0,0,0,2,21,0,0,0.583000004,0.416999996,0,1114,463,260,2.200000048,0.913999975,0.513000011,4296800,25.93000031,10.77999973,6.050000191,50.63636017,6.300000191,14.90000057,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11784.66797
17,1996,1,0,0.333000004,0.666999996,0,0,2,21,0.666999996,0,0,1,0.416999996,1146,512,268,2.230000019,0.995999992,0.522000015,4331102,26.45999908,11.82000065,6.190000057,51.39012909,5.099999905,14.69999981,0.666999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11865.37109
18,1997,1,0,0,1,0,0,2,21,1,0,0,1,1,1192,518,255,2.230000019,0.968999982,0.476999998,4367935,27.29000092,11.85999966,5.840000153,53.45291138,5.099999905,14.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12237.57031
19,1998,1,0,0,1,0,0,2,21,1,0,0,1,1,1071,433,233,1.940000057,0.783999979,0.421999991,4404701,24.30999947,9.829999924,5.289999962,55.20619202,4.199999809,14.39999962,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12533.4707
20,1999,1,0,0,1,0,0,1,21,1,0,0,1,1,1138,486,257,2.029999971,0.866999984,0.458000004,4430141,25.69000053,10.97000027,5.799999714,56.05910873,4.800000191,14.30000114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12654.02344
21,2000,1,0,0,1,0,0,1,21,1,0,0,1,1,996,418,220,1.75999999,0.739000022,0.388999999,4447100,22.39999962,9.399999619,4.949999809,56.59091187,4.5,14.10000038,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12725.35156
22,2001,1,0,0,1,0,0,1,21,1,0,0,1,1,991,398,198,1.75,0.703000009,0.349999994,4468912,22.18000031,8.909999847,4.429999828,56.62857056,5.300000191,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12671.66895
23,2002,1,0,0,1,0,0,1,21,1,0.75,0,1,1,1038,468,230,1.809000015,0.814999998,0.400999993,4478896,23.05999947,10.39999962,5.109999657,57.38888931,5.900000095,13.89999962,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12813.17773
24,2003,1,0,0,1,0,0,1,21,1,1,0,1,1,1004,440,242,1.715000033,0.751999974,0.412999988,4500752,22.23999977,9.75,5.360000134,58.53801346,5.800000191,13.89999962,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13006.27344
25,2004,1,0,0,1,0,0,1,21,1,1,0,1,1,1154,486,269,1.950000048,0.82099998,0.455000013,4530000,25.46999931,10.72999954,5.93999958,59.17948914,5.300000191,13.89999962,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13063.9043
26,1980,3,1,0,0,0,0,0,18,0,0,0,0,0,947,503,259,5.300000191,2.815000057,1.450000048,2718215,34.84000015,18.5,9.529999733,17.86791992,6.699999809,18.89999962,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6573.401855
27,1981,3,1,0,0,0,0,0,18,0,0,0,0,0,917,434,222,4.938000202,2.336999893,1.195000052,2810135,32.11999893,15.44000053,7.900000095,18.56999969,6.099999905,18.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6608.223633
28,1982,3,1,0,0,0,0,0,18,0,0,0.416999996,0,0,724,337,177,3.549999952,1.65199995,0.867999971,2889868,25.05000114,11.65999985,6.119999886,20.39436913,9.899999619,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7057.197266
29,1983,3,1,0,0,0,0,0,18,0,0,1,0,0,675,319,177,3.279999971,1.549999952,0.860000014,2968932,22.73999977,10.73999977,5.960000038,20.57926941,9.100000381,17.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6931.539551
30,1984,3,1,0,0,0,0,0,18,0,0,1,0,0,869,386,171,4.150000095,1.843000054,0.816999972,3067144,28.32999992,12.57999992,5.580000401,20.93976021,5,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6827.120117
31,1985,3,1,0,0,0,0,0,21,0,0,1,0,0,893,444,215,4.139999866,2.058000088,0.996999979,3183541,28.05000114,13.94999981,6.75,21.57005119,6.5,16.59999847,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6775.490234
32,1986,3,1,0,0,0,0,0,21,0,0,1,0,0,1007,492,252,4.440000057,2.16899991,1.110999942,3308262,30.43999863,14.86999989,7.620000362,22.6801796,6.900000095,16.30000114,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6855.617676
33,1987,3,0.25,0.75,0,0,0,0,21,0,0,1,0,0,939,428,196,2.960000038,1.348999977,0.617999971,3437101,27.3200016,12.44999981,5.699999809,31.72297096,6.199999809,15.89999962,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9229.572266
34,1988,3,0,1,0,0,0,0,21,0,0,1,0,1,944,386,199,2.75999999,1.128999949,0.582000017,3535178,26.70000076,10.92000008,5.630000114,34.20289993,6.300000191,15.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9675.014648
35,1989,3,0,1,0,0,0,0,21,0,0,1,0,1,879,366,162,2.519999981,1.049000025,0.463999987,3622181,24.27000046,10.10000038,4.46999979,34.88095093,5.199999809,15.09999943,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9629.820313
36,1990,3,0,1,0,0,0,0,21,0.25,0,1,0,1,869,389,195,2.450000048,1.097000003,0.550000012,3679056,23.61999893,10.57000065,5.299999714,35.46939087,5.5,14.69999981,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9640.894531
37,1991,3,0,1,0,0,0,2,21,1,0,1,0,1,816,353,177,2.339999914,1.011999965,0.508000016,3788576,21.54000092,9.319999695,4.670000076,34.87178802,5.800000191,14.30000114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9204.457031
38,1992,3,0,1,0,0,0,2,21,1,0,1,0,1,809,353,167,2.309999943,1.008000016,0.476999998,3915740,20.65999985,9.010000229,4.260000229,35.02164841,7.599999905,14.10000038,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8943.813477
39,1993,3,0,1,0,0,0,2,21,1,0,1,0,1,801,368,188,2.130000114,0.978999972,0.5,4065440,19.70000076,9.049999237,4.619999886,37.60562897,6.300000191,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9250.076172
40,1994,3,0,1,0,0,0,2,21,1,0,1,0,1,904,395,197,2.329999924,1.018000007,0.508000016,4245089,21.30000114,9.300000191,4.639999866,38.79828262,6.400000095,13.89999962,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9139.568359
41,1995,3,0,0.916999996,0.082999997,0,0,2,21,1,0,1,0,1,1035,475,245,2.609999895,1.197999954,0.617999971,4432499,23.35000038,10.72000027,5.529999733,39.65517044,5.099999905,13.79999924,0.082999997,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8946.458984
42,1996,3,0,0,0,1,0,2,21,1,0,1,0,1,994,469,249,2.359999895,1.113999963,0.591000021,4586940,21.67000008,10.21999931,5.429999828,42.1186409,5.5,13.69999981,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9182.295898
43,1997,3,0,0,0,1,0,2,21,1,0,1,0,1,951,447,230,2.190000057,1.029000044,0.529999971,4736990,20.07999802,9.440000534,4.860000134,43.42465973,4.599999905,13.79999924,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9167.141602
44,1998,3,0,0,0,1,0,2,21,1,0,1,0,1,980,419,220,2.170000076,0.927999973,0.486999989,4883342,20.06999969,8.579999924,4.510000229,45.16128922,4.099999905,13.89999962,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9248.029297
45,1999,3,0,0,0,1,0,2,21,1,0,1,0,1,1024,435,207,2.190000057,0.930000007,0.442999989,5023823,20.38000107,8.659999847,4.119999886,46.75798798,4.400000095,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9307.251953
46,2000,3,0,0,0,1,0,2,21,1,0,1,0,1,1036,454,209,2.109999895,0.925000012,0.425999999,5130632,20.19000053,8.850000381,4.070000172,49.09953308,4,14.20000076,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9569.879883
47,2001,3,0,0,0,1,0,2,21,1,0,0.666999996,0.333000004,1,1051,502,260,2.119999886,1.013000011,0.523999989,5306966,19.79999924,9.460000038,4.900000095,49.57546997,4.699999809,14.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9341.583984
48,2002,3,0,0,0,1,0,2,21,1,0,0,1,1,1132,507,284,2.209000111,0.989000022,0.55400002,5441125,20.52999878,9.190000534,5.149999619,51.23853302,6.199999809,14.59999943,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9416.900391
49,2003,3,0,0,0,1,0,2,21,1,0,0,1,1,1118,544,296,2.075999975,1.00999999,0.550000012,5580811,20.06999969,9.770000458,5.31000042,53.84614944,5.599999905,14.69999981,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9648.445313
50,2004,3,0,0,0,1,0,2,21,1,0,0,1,1,1150,527,250,2.00999999,0.921000004,0.437000006,5744000,20.02000046,9.170000076,4.349999905,57.21392822,4.5,14.69999981,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9960.642578
51,1980,4,1,0,0,0,0,0,21,0,0,0,0,0,588,315,166,3.599999905,1.92900002,1.016000032,2286435,25.72000122,13.78000069,7.260000229,16.33333015,7.599999905,17.80000114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7143.579102
52,1981,4,1,0,0,0,0,0,21,0,0,0,0,0,536,267,143,3.196000099,1.592000008,0.852999985,2293187,22.88000107,11.64000034,6.240000248,16.77000046,9.100000381,17.60000038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7312.966797
53,1982,4,1,0,0,0,0,0,21,0,0,0,0,0,550,253,147,3.309999943,1.523000002,0.88499999,2294259,23.97000122,11.03000069,6.409999847,16.61631012,9.800000191,17.29999924,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7242.560547
54,1983,4,1,0,0,0,0,0,21,0,0,0.75,0,0,557,232,122,3.339999914,1.391000032,0.731999993,2305755,24.15999985,10.06000042,5.289999962,16.676651,10.10000038,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7232.620605
55,1984,4,1,0,0,0,0,0,21,0,0,1,0,0,525,251,126,3.160000086,1.511000037,0.758000016,2319780,22.63000107,10.81999969,5.429999828,16.61392021,8.899999619,16.79999924,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7161.851563
56,1985,4,1,0,0,0,0,0,21,0,0,1,0,0,534,222,132,3.119999886,1.297000051,0.771000028,2327052,22.95000076,9.539999962,5.669999599,17.11538124,8.699999809,16.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7354.963379
57,1986,4,1,0,0,0,0,0,21,0,0,1,0,0,603,286,157,3.430000067,1.626999974,0.893000007,2331995,25.86000061,12.25999928,6.729999542,17.58016968,8.699999809,16.20000076,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7538.682617
58,1987,4,0.25,0.75,0,0,0,0,21,0,0,1,0,0,639,264,163,3.49000001,1.442000031,0.889999986,2342366,27.27999878,11.2699995,6.960000038,18.30946159,8.100000381,15.80000114,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7816.65332
59,1988,4,0,1,0,0,0,0,21,0,0,1,0,0,610,265,152,3.170000076,1.376999974,0.790000021,2342645,26.04000092,11.31000042,6.489999771,19.24290085,7.699999809,15.29999924,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214.176758
60,1989,4,0,1,0,0,0,0,21,0,0,1,0,0,647,281,151,3.170000076,1.376999974,0.74000001,2346392,27.56999969,11.97999954,6.440000057,20.41008949,7.199999809,14.90000057,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8698.499023
61,1990,4,0,1,0,0,0,0,21,0,0,1,0,0,604,270,163,2.869999886,1.282999992,0.774999976,2354343,25.65000153,11.46999931,6.919999599,21.04530144,7,14.59999943,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8938.927734
62,1991,4,0,1,0,0,0,2,21,0,0,1,0,0,608,252,143,2.769999981,1.148000002,0.651000023,2383144,25.51000214,10.57000065,6,21.94946098,7.400000095,14.59999943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9210.295898
63,1992,4,0,1,0,0,0,2,21,0,0,1,0,0,588,261,154,2.549999952,1.131999969,0.667999983,2415984,24.34000015,10.80000019,6.370000362,23.05882072,7.300000191,14.59999943,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9544.277344
64,1993,4,0,1,0,0,0,2,21,0.583000004,0,1,0,0,583,225,124,2.430000067,0.938000023,0.51700002,2456303,23.72999954,9.159999847,5.050000191,23.99176979,6.199999809,14.69999981,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9767.430664
65,1994,4,0,1,0,0,0,2,21,1,0,1,0,0,609,228,113,2.440000057,0.912999988,0.453000009,2494019,24.41999817,9.13999939,4.53000021,24.95901871,5.300000191,14.69999981,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10007.5498
66,1995,4,0,1,0,0,0,2,21,1,0,1,0,0,631,278,131,2.369999886,1.04400003,0.492000014,2535399,24.8900013,10.95999908,5.170000076,26.62446976,4.900000095,14.69999981,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10501.09668
67,1996,4,0,0.583000004,0.416999996,0,0,2,21,1,0,1,0,0.5,615,268,124,2.210000038,0.963,0.44600001,2572109,23.90999985,10.42000008,4.819999695,27.82805061,5.400000095,14.59999943,0.416999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10819.15723
68,1997,4,0,0,1,0,0,2,21,1,0,1,0,1,660,237,135,2.349999905,0.843999982,0.481000006,2601090,25.36999893,9.11000061,5.190000057,28.08510971,5.300000191,14.59999943,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10797.43848
69,1998,4,0,0,1,0,0,2,21,1,0,1,0,1,625,234,113,2.200000048,0.824000001,0.398000002,2626289,23.80000114,8.909999847,4.300000191,28.40909004,5.5,14.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10817.19922
70,1999,4,0,0,1,0,0,2,21,1,0,1,0,1,604,266,128,2.069999933,0.912,0.43900001,2651860,22.78000069,10.03000069,4.829999924,29.17873955,4.5,14.39999962,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11003.12207
71,2000,4,0,0,1,0,0,2,21,1,0,1,0,1,652,239,118,2.24000001,0.82099998,0.405000001,2673400,24.38999939,8.93999958,4.410000324,29.10714149,4.400000095,14.10000038,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10887.68652
72,2001,4,0,0,1,0,0,2,21,1,0,0.666999996,0.333000004,1,611,237,125,2.079999924,0.806999981,0.425999999,2694698,22.67000008,8.800000191,4.639999866,29.375,5,13.89999962,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10901.03613
73,2002,4,0,0,1,0,0,2,21,1,0.5,0,1,1,640,258,127,2.130000114,0.859000027,0.423000008,2706268,23.64999962,9.529999733,4.690000057,30.04694939,5.400000095,13.69999981,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11102.72461
74,2003,4,0,0,1,0,0,2,21,1,1,0,1,1,640,268,145,2.092999935,0.875999987,0.474000007,2725714,23,9.630000114,5.210000038,30.58536911,6.199999809,13.60000038,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11221.04785
75,2004,4,0,0,1,0,0,2,21,1,1,0,1,1,704,295,177,2.220000029,0.930000007,0.558000028,2753000,25.56999969,10.72000027,6.430000305,31.71171188,5.599999905,13.50000095,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11518.96484
76,1980,5,1,0,0,0,0,0,21,0,0,0,0,0,5496,2918,1499,3.5,1.85800004,0.954999983,23667902,23.22000122,12.32999992,6.329999924,157.0285645,6.800000191,18.89999962,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6634.663574
77,1981,5,1,0,0,0,0,0,21,0,0,0,0,0,5170,2751,1352,3.23300004,1.720000029,0.846000016,24286016,21.18999863,11.32999992,5.569999695,159.8999939,7.400000095,18.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6584.035645
78,1982,5,1,0,0,0,0,0,21,0,0,0.833000004,0,0,4611,2419,1182,2.707999945,1.419999957,0.694000006,24820028,18.59000015,9.75,4.760000229,170.2951965,9.899999619,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6861.200684
79,1983,5,1,0,0,0,0,0,21,0,0,1,0,0,4573,2298,1141,2.5,1.256000042,0.624000013,25360065,18.02999878,9.06000042,4.5,182.9199982,9.699999809,17.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7212.915039
80,1984,5,1,0,0,0,0,0,21,0,0,1,0,0,5020,2494,1237,2.549999952,1.26699996,0.628000021,25844407,19.42000008,9.649999619,4.789999962,196.8627472,7.800000191,17.20000076,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7617.228027
81,1985,5,1,0,0,0,0,0,21,0,0,1,0,0,4960,2339,1081,2.390000105,1.126999974,0.521000028,26441102,18.76000023,8.850000381,4.090000153,207.5313721,7.199999809,16.89999962,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7848.817383
82,1986,5,1,0,0,0,0,1,21,0,0,1,0,0,5253,2501,1193,2.440000057,1.161999941,0.55400002,27102159,19.37999916,9.229999542,4.400000095,215.2868958,6.699999809,16.59999847,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7943.533203
83,1987,5,0.333000004,0.666999996,0,0,0,1,21,1,0,1,0,0,5504,2678,1310,2.430000067,1.182000041,0.578000009,27777037,19.80999947,9.63999939,4.720000267,226.5020599,5.800000191,16.30000114,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8154.291016
84,1988,5,0,1,0,0,0,1,21,1,0,1,0,0,5392,2569,1244,2.230000019,1.062000036,0.513999999,28464180,18.94000053,9.029999733,4.369999886,241.7937164,5.300000191,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8494.666992
85,1989,5,0,1,0,0,0,1,21,1,0,1,0,0,5412,2595,1230,2.150000095,1.031000018,0.488999993,29218118,18.52000046,8.880000114,4.210000038,251.720932,5.099999905,15.70000076,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8615.234375
86,1990,5,0,1,0,0,0,1,21,1,0,0,1,0.5,5192,2493,1238,2.00999999,0.964999974,0.479000002,29950111,17.34000015,8.319999695,4.130000114,258.3084412,5.800000191,15.29999924,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8624.624023
